Day,,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat
Month & Date,,08-12-2022,09-12-2022,10-12-2022,11-12-2022,12-12-2022,13-12-2022,14-12-2022,15-12-2022,16-12-2022,17-12-2022,18-12-2022,19-12-2022,20-12-2022,21-12-2022,22-12-2022,23-12-2022,24-12-2022,25-12-2022,26-12-2022,27-12-2022,28-12-2022,29-12-2022,30-12-2022,31-12-2022,01-01-2023,02-01-2023,03-01-2023,04-01-2023,05-01-2023,06-01-2023,07-01-2023,08-01-2023,09-01-2023,10-01-2023,11-01-2023,12-01-2023,13-01-2023,14-01-2023
Stream,Tasks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mysql,"Learned mysql CURD operations thoroughly including concepts DISTINCT,CONCAT,SUBSTRING,LIMIT,ORDER BY",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python,Learned about how to create api using flask in python and connecting mysql database with python as asigned by Khetal,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python,Created api for CURD operation in python using flask and postman as asigned by Khetal,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python,Learned about how to create api using flask in python to store files,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python,Created api for Storing files using postman,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python,Learned about how to store img files in Mysql database and Base64 encoding and decoding,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python,Created api for Storing a file in database using flask and postman as asigned by khetal,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python,Created api for Storing multiple files at sametime in database using flask and postman as asigned by khetal,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python,Created api for storing base64 encoded file in database using flask and postman as asigned by khetal,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python,Created api for decoding base64 file and retriving from database as asigned by khetal,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python,studied about pandas python library,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python,"covered matplotlib concepts, plot,scatter plot ,bar plot,histogram plot",,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python,"Created api for storing encoded different files like csv,xls,doc in database using flask as asigned by Khetal",,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python,"ploted  different charts and graphs matplotlib concepts, plot,scatter plot ,bar plot,histogram plot",,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mysql,solved Mysql problems on leetcode,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Mysql,"Explored Mysql concepts functions,procedure and triggers as asigned by khetal",,,,,,,,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,
Mysql,Completed half advance mysql course on udemy.,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,
Mysql,Completed the reamaining advance mysql course on udemy.,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
Mysql,Completed Different types of triggers,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
Python,ploted graph for data assigned by khetal,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
Session,Atttented arya kadam's session for testing concpets,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
Python,ploted different graph for data assigned by khetal,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Python,Explored Machine Learning concepts(personal goal),,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
python,Created api for filtering out average run time which takes last date as input and compares last 7 days runtime from the data assigned by khetal,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
Python,updated api for filtering out average run time which takes last date as input and compares last 7 days runtime from the data abd store the data in csv format assigned by khetal ,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
python,updated api for filtering out average run time which takes last date as input and compares last 7 days runtime from the data and store the data in csv format and create a plot for the same data on the fly assigned by khetal ,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
Python,"created api for comparing minimum,maximum,average,95 precentile value for the custom date,and storing the dataframe into csv format",,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
Python,created barplot for the same data on the fly ,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
Python,"Explored Different types on locator in selenium : by name, id, x-path, partial link text, link text in python using selenium",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
Python,created and executed drop down testing python script using seleinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,
Python,created and executed login module testing python script for Hono portal using selenium,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,
Python,created and executed drag and drop testing python script using selenium  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
Python,"Modified  api comparing minimum,maximum,average,95 precentile value for the custom dates also for multiple date,
which will filter data as per date for multiple dates at a time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
Python,"selenuim scripting with ActionaChain : click, click_and_hold, double_click, drag_and_drop, perform,send_keys,key.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
Python,Created python script to automate backup of mysql databases using os module in .sql format.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,
Python,created python script for scheduling using schedule module to backup for the databases for every 10 seconds.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
Python,changed the backup path from absolute path to relative path.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
Python,modified python script for storing the backup with current date folder and deleting the backup of previous date folder if existed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
Python,changed the .sql file to compered zip file using zipfile module.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
Session,Attended Client interview session by Kalaivani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
Python,created python script for taking test data 'username' and 'password' from csv file and using the test data in login module test case using selenium.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
Python,"Also added new column with test data as status, assigning value as P if test case passes and F if fails against its test data which can be export as xlxs or csv using python pandas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
Python,modified python script for taking test data 'username' and 'password' from csv file and using the test data in login module test case using selenium and Added new column error which will have error message against the test data after script execution if the test case fails.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Python,Also Added new column as Response time which will store time taken for test data after script execution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
